church,pastor,city,island
Puna Covenant Church,Robert Frick,Keaau,Hawai'i
Puula United Church of Christ,Diane Hultman,P&#257;hoa,Hawai'i
Sacred Heart Church P&#257;hoa,John Molina,P&#257;hoa,Hawai'i
Salvation Army,Sam LeMar,Hilo,Hawai'i
Solid Rock East Hawai'i,Sam & Kim Souza,P&#257;hoa,Hawai'i
St Theresa Catholic Church,Sam Loterte,Mountain View,Hawai'i
St. Joseph Catholic Church,Apolinario Ty,Hilo,Hawai'i
Sure Foundation Church,Lorin & Patty Carmichael,Keaau,Hawai'i
The Apostolic Faith Church,Walter Tinlok,Hilo,Hawai'i
The House Hilo,Tom & Christy Smith,Hilo,Hawai'i
Thy Word Ministries Faith Center of Hawai'i,Gail Kamakahi,Hilo,Hawai'i
Victory Chapel Hilo,Lawrence Palma,Hilo,Hawai'i
"Rivers Of Grace, Church Of God",Miguel Angel & Charisma Hernandez,Hilo,Hawai'i
Big Island Church of Christ,Gary & Christy Roberson,Hilo,Hawai'i
Kaumana Drive Baptist Church,Mark Tagami,Hilo,Hawai'i
Bible First Mission Church,Mel & Denise Haug,Captain Cook,Hawai'i
Hau'oli Kamana'o Church,Charles & Melveen Kaupiko,Captain Cook,Hawai'i
Ho`okena Painted Church,"Guest speaker, shared with st. benedict",Captain Cook,Hawai'i
Holy Rosary Church/St. Theresa Parish,Samuel Loterte,Pahala,Hawai'i
Kahikolu Congregation Church,Naleen Andrade,Captain Cook,Hawai'i
Kauahaao Congregational Church,Debbie Wong-Yuen,Naalehu,Hawai'i
Kona Faith Center,Jason & Terry Meechan,Captain Cook,Hawai'i
Naalehu Assembly of God,Kevin Brown,Naalehu,Hawai'i
Naalehu United Methodist Church,Kenneth Woodley-White,Naalehu,Hawai'i
New Hope Christian Fellowship,"Moku, Jason and Ray",Volcano,Hawai'i
Ocean View Baptist Church,Bob Werner,Ocean View,Hawai'i
Ocean View Evangelical Community Church,Alan Zaugg,Ocean View,Hawai'i
Pukaana Congregational Church,Keoki Kiwaha,Honaunau,Hawai'i
"Puka'ana Congregational Church, Inc.",Kahu Keoki Kiwaha,Captain Cook,Hawai'i
River of Life Church,Troy Gacayan,Pahala,Hawai'i
Sacred Heart Church,Marlon Belmonte,Naalehu,Hawai'i
South Kona Assembly of God,Rev. Olga M Hoaeae,Captain Cook,Hawai'i
THIS HOLY GROUND,Laura Gilmore,Volcano,Hawai'i
White Dove Ministries,Debbie Roberts,Captain Cook,Hawai'i
Annunciation Catholic Church,Anthony Pangan,Waimea,Hawai'i
Ascension Mission Catholic Church,Anthony Pangan,Waimea,Hawai'i
Calvary Chapel H&#257;m&#257;kua,Jack Duggan,Honokaa,Hawai'i
Calvary Hillside Church,Jack Duggan,Waimea,Hawai'i
Door of Faith Waimea,Mary Paio,Waimea,Hawai'i
Gospel of Salvation Church,Kawika Kihara,Hawi,Hawai'i
Honoka'a Seventh-Day Adventist Church,Keala Thompson,Honokaa,Hawai'i
Honoka'a United Methodist Church,Joyce Latu,Honokaa,Hawai'i
Imiola Congregational Church,David Blevins,Waimea,Hawai'i
Island Breeze Ministries,Eruera (Ed) & Elisabeth (Lis) Kawe,Kapaau,Hawai'i
Ke Ola Mau Loa Church,Rev. Dowyne Kewwekane Jr. ,Waimea,Hawai'i
King's Chapel Honoka'a,Dr. James & Colleen Marocco,Honokaa,Hawai'i
Kohala Baptist Church,Steven Hedlund,Kapaau,Hawai'i
Landmark Baptist Church,Steven Hedlund,Kapaau,Hawai'i
Mana Christian Ohana,Billy,Waimea,Hawai'i
New Beginnings Assembly of God,Strickland Stevens,Waimea,Hawai'i
New Hope Christian Fellowship,Sione Tilini,Waimea,Hawai'i
O'okala Fellowship,Phil,Kamuela,Hawai'i
Our Lady of Lourdes Church,"Rev. Anselmo ""Jun"" Bobier",Honokaa,Hawai'i
Overflow Church,James P. Texeira,Hawi,Hawai'i
Sacred Heart Catholic Church,Elias Escanilla,Hawi,Hawai'i
St Anthony's,Stephen Macedo,Laupahoehoe,Hawai'i
St Augustine's Episcopal Church,Vicar Jennifer Masada,Kapaau,Hawai'i
St Columba's Episcopal Church,Rev. Linda Lundgren,Paauilo,Hawai'i
St James Episcopal Church,David Stout,Waimea,Hawai'i
St John's Church,Unknown,Kealakekua,Hawai'i
Abundant Life Waikoloa,Unknown,Waikoloa Village,Hawai'i
Central Kona Union Church,Unknown,Kealakekua,Hawai'i
Grace Community Church,Unknown,Kailua-Kona,Hawai'i
Hawai'i Gospel Church,Unknown,Kailua-Kona,Hawai'i
Iglesia Cristiana Hispanic Christian Church,Unknown,Kailua-Kona,Hawai'i
Iglesia Ni Cristo (Church of Christ) - Locale of Kailua Kona,Unknown,Kailua-Kona,Hawai'i
Immanuel Enterprises Ltd,Unknown,Kailua-Kona,Hawai'i
Kealaokamalamalama Church,Unknown,Kailua-Kona,Hawai'i
Kona Church of Christ,Unknown,Kailua-Kona,Hawai'i
Kona Coast Baptist Church,Unknown,Kailua-Kona,Hawai'i
Life Church,Unknown,Kailua-Kona,Hawai'i
Life Everlasting Ministries,Unknown,Kailua-Kona,Hawai'i
Lifewater Church,Unknown,Kealakekua,Hawai'i
Oasis Church,Unknown,Kailua-Kona,Hawai'i
Praise Tabernacle,Unknown,Kailua-Kona,Hawai'i
The Hub Kona,Unknown,Kailua-Kona,Hawai'i
Baptist Collegiate Ministries,Unknown,Hilo,Hawai'i
Christian Fellowship Church Hawai'i,Unknown,Keaau,Hawai'i
"Crossnet Ministries International, Inc.",Unknown,Hilo,Hawai'i
First Missionary Baptist Church,Unknown,Hilo,Hawai'i
Free Church of Tonga,Unknown,Keaau,Hawai'i
Grace Baptist Church,Unknown,Hilo,Hawai'i
Heritage Christian Fellowship,Unknown,Hilo,Hawai'i
Hilo Door of Faith Church,Unknown,Hilo,Hawai'i
Iglesia Ni Cristo - Locale of Keaau,Unknown,Keaau,Hawai'i
Ka Uhane Hemolele O Ka Malamalama Church,Unknown,Hilo,Hawai'i
Kamauloa oka malamalama church,Unknown,Kurtistown,Hawai'i
Ke Kilohana Oka Malamalama,Unknown,Hilo,Hawai'i
Lord Is My Shepherd,Unknown,Hilo,Hawai'i
Opihikao Congregational Church,Unknown,P&#257;hoa,Hawai'i
Our God Reigns Church,Unknown,Hilo,Hawai'i
Paradise Park Baptist Church,Unknown,Keaau,Hawai'i
Puna Seventh-day Adventist Church,Unknown,Keaau,Hawai'i
Tenrikyo Hilo Church,Unknown,Hilo,Hawai'i
The I Love Jesus Church,Unknown,Pahala,Hawai'i
The Lord is My Sheppard Ministries,Unknown,Hilo,Hawai'i
United Community Church,Unknown,Hilo,Hawai'i
Zion's House Of Praise Holiness Church,Unknown,Hilo,Hawai'i
Zion's House-Praise Holiness,Unknown,Hilo,Hawai'i
Amazing Grace Baptist Church of South Point,Unknown,Naalehu,Hawai'i
Captain Cook Garfield Church,Unknown,Captain Cook,Hawai'i
Church of Christ,Unknown,Ocean View,Hawai'i
Divine Faith Ministries,Unknown,Ocean View,Hawai'i
HOPE DIAMEND MINISTRIES,Unknown,Ocean View,Hawai'i
Iglesia Ni Cristo - Locale of Naalehu,Unknown,Naalehu,Hawai'i
Kona Seventh-Day Adventist Church,Unknown,Captain Cook,Hawai'i
St Benedict Catholic Church,Unknown,Captain Cook,Hawai'i
St Jude's Episcopal Church,Unknown,Ocean View,Hawai'i
Volcano Assembly Of God,Unknown,Volcano,Hawai'i
Aloha Baptist Church,Unknown,Honokaa,Hawai'i
H&#257;m&#257;kua Baptist Mission,Unknown,Laupahoehoe,Hawai'i
Kalahikiola Congregational Church,Unknown,Kapaau,Hawai'i
Kohala Seventh-day Adventist Church,Unknown,Hawi,Hawai'i
Solid Rock North,Unknown,Kapaau,Hawai'i
First Assembly of God Church,Unknown,Lanai City,Lanai
Ka Lanakila Church,Unknown,Lanai City,Lanai
King's Chapel Lanai,Kevin $ Minister Dianna McNamara,Lanai City,Lanai
Lanai Baptist Church,Chris Komatsu & Sean Oliva,Lanai City,Lanai
Lanai Seventh Day Adventist Church,Ramel T Ramos,Lanai City,Lanai
Lanai Seventh-Day Adventist,Ramel T Ramos,Lanai City,Lanai
Lanai Union Church,Ben Sheets,Lanai City,Lanai
Lokahi O Ka Malamalama Church,Guest Speaker,Lanai City,Lanai
Apostolic Faith Church - Moloka'i Branch,Reginald V. Castanares,Kaunakakai,Molokai
Bible Baptist Church of Molokai,Unknown,Maunaloa,Molokai
Calvary Door of Faith Moloka'i,Joseph & Martha Kalipi,Kaunakakai,Molokai
Church of the Nazarene,Ryan,Kaunakakai,Molokai
Grace Episcopal Church,John S. Lunn,Ho'olehua,Molokai
Ho'olehua Congregational Church,Janice Ogoshi,Ho'olehua,Molokai
Ierusalema Pomaikai Church,Unknown,Kaunakakai,Molokai
Kalaiakamanu Hou Church,Janice Ogoshi,Kaunakakai,Molokai
Kaluaaha Church,Janice Ogoshi,Kaunakakai,Molokai
Kana'ana Hou Church,Mikiala & Keoki Pescaia,Kalaupapa,Molokai
Kaunakakai Baptist Church,"Henry ""Hanale"" Lindo",Kaunakakai,Molokai
King's Chapel Ho'olehua,Unknown,Ho'olehua,Molokai
King's Chapel Maunaloa,Unknown,Maunaloa,Molokai
King's Chapel Molokai,Unknown,Kaunakakai,Molokai
Lamb of God Church & Bible,Unknown,Kaunakakai,Molokai
Moloka'i Seventh-day Adventist Church,Ron Taylor,Kaunakakai,Molokai
Molokai Baptist Church,Randy & Clint,Ho'olehua,Molokai
Molokai Christian Academy,Unknown,Ho'olehua,Molokai
Molokai Church of God,David & Shirley Nanod,Kaunakakai,Molokai
Molokai Church of God Parsonage,Unknown,Ho'olehua,Molokai
Our Lady of Seven Sorrows Catholic Church,Patrick Fanning & Patrick Killiea,Kaunakakai,Molokai
Saint Philomena Catholic Church,Patrick Fanning & Patrick Killiea,Kalaupapa,Molokai
Salvation Army,Unknown,Kaunakakai,Molokai
St Joseph's Mission Church,Patrick Fanning & Patrick Killiea,Kaunakakai,Molokai
St. Damien of Molokai Church,Patrick Fanning & Patrick Killiea,Kaunakakai,Molokai
St. Vincent Ferrer Catholic Church,Patrick Fanning & Patrick Killiea,Maunaloa,Molokai
Waialua Congregational Church,Janice Ogoshi,Kaunakakai,Molokai
