church,pastor,city,island
Puna Covenant Church,Robert Frick,Keaau,Hawai'i
Puula United Church of Christ,Diane Hultman,P&#257;hoa,Hawai'i
Sacred Heart Church P&#257;hoa,John Molina,P&#257;hoa,Hawai'i
Salvation Army,Sam LeMar,Hilo,Hawai'i
Solid Rock East Hawai'i,Sam & Kim Souza,P&#257;hoa,Hawai'i
St Theresa Catholic Church,Sam Loterte,Mountain View,Hawai'i
St. Joseph Catholic Church,Apolinario Ty,Hilo,Hawai'i
Sure Foundation Church,Lorin & Patty Carmichael,Keaau,Hawai'i
The Apostolic Faith Church,Walter Tinlok,Hilo,Hawai'i
The House Hilo,Tom & Christy Smith,Hilo,Hawai'i
Thy Word Ministries Faith Center of Hawai'i,Gail Kamakahi,Hilo,Hawai'i
Victory Chapel Hilo,Lawrence Palma,Hilo,Hawai'i
"Rivers Of Grace, Church Of God",Miguel Angel & Charisma Hernandez,Hilo,Hawai'i
Big Island Church of Christ,Gary & Christy Roberson,Hilo,Hawai'i
Kaumana Drive Baptist Church,Mark Tagami,Hilo,Hawai'i
Bible First Mission Church,Mel & Denise Haug,Captain Cook,Hawai'i
Hau'oli Kamana'o Church,Charles & Melveen Kaupiko,Captain Cook,Hawai'i
Ho`okena Painted Church,"Guest speaker, shared with st. benedict",Captain Cook,Hawai'i
Holy Rosary Church/St. Theresa Parish,Samuel Loterte,Pahala,Hawai'i
Kahikolu Congregation Church,Naleen Andrade,Captain Cook,Hawai'i
Kauahaao Congregational Church,Debbie Wong-Yuen,Naalehu,Hawai'i
Kona Faith Center,Jason & Terry Meechan,Captain Cook,Hawai'i
Naalehu Assembly of God,Kevin Brown,Naalehu,Hawai'i
Naalehu United Methodist Church,Kenneth Woodley-White,Naalehu,Hawai'i
New Hope Christian Fellowship,"Moku, Jason and Ray",Volcano,Hawai'i
Ocean View Baptist Church,Bob Werner,Ocean View,Hawai'i
Ocean View Evangelical Community Church,Alan Zaugg,Ocean View,Hawai'i
Pukaana Congregational Church,Keoki Kiwaha,Honaunau,Hawai'i
"Puka'ana Congregational Church, Inc.",Kahu Keoki Kiwaha,Captain Cook,Hawai'i
River of Life Church,Troy Gacayan,Pahala,Hawai'i
Sacred Heart Church,Marlon Belmonte,Naalehu,Hawai'i
South Kona Assembly of God,Rev. Olga M Hoaeae,Captain Cook,Hawai'i
THIS HOLY GROUND,Laura Gilmore,Volcano,Hawai'i
White Dove Ministries,Debbie Roberts,Captain Cook,Hawai'i
Annunciation Catholic Church,Anthony Pangan,Waimea,Hawai'i
Ascension Mission Catholic Church,Anthony Pangan,Waimea,Hawai'i
Calvary Chapel H&#257;m&#257;kua,Jack Duggan,Honokaa,Hawai'i
Calvary Hillside Church,Jack Duggan,Waimea,Hawai'i
Door of Faith Waimea,Mary Paio,Waimea,Hawai'i
Gospel of Salvation Church,Kawika Kihara,Hawi,Hawai'i
Honoka'a Seventh-Day Adventist Church,Keala Thompson,Honokaa,Hawai'i
Honoka'a United Methodist Church,Joyce Latu,Honokaa,Hawai'i
Imiola Congregational Church,David Blevins,Waimea,Hawai'i
Island Breeze Ministries,Eruera (Ed) & Elisabeth (Lis) Kawe,Kapaau,Hawai'i
Ke Ola Mau Loa Church,Rev. Dowyne Kewwekane Jr. ,Waimea,Hawai'i
King's Chapel Honoka'a,Dr. James & Colleen Marocco,Honokaa,Hawai'i
Kohala Baptist Church,Steven Hedlund,Kapaau,Hawai'i
Landmark Baptist Church,Steven Hedlund,Kapaau,Hawai'i
Mana Christian Ohana,Billy,Waimea,Hawai'i
New Beginnings Assembly of God,Strickland Stevens,Waimea,Hawai'i
New Hope Christian Fellowship,Sione Tilini,Waimea,Hawai'i
O'okala Fellowship,Phil,Kamuela,Hawai'i
Our Lady of Lourdes Church,"Rev. Anselmo ""Jun"" Bobier",Honokaa,Hawai'i
Overflow Church,James P. Texeira,Hawi,Hawai'i
Sacred Heart Catholic Church,Elias Escanilla,Hawi,Hawai'i
St Anthony's,Stephen Macedo,Laupahoehoe,Hawai'i
St Augustine's Episcopal Church,Vicar Jennifer Masada,Kapaau,Hawai'i
St Columba's Episcopal Church,Rev. Linda Lundgren,Paauilo,Hawai'i
St James Episcopal Church,David Stout,Waimea,Hawai'i
St John's Church,Unknown,Kealakekua,Hawai'i
Abundant Life Waikoloa,Unknown,Waikoloa Village,Hawai'i
Central Kona Union Church,Unknown,Kealakekua,Hawai'i
Grace Community Church,Unknown,Kailua-Kona,Hawai'i
Hawai'i Gospel Church,Unknown,Kailua-Kona,Hawai'i
Iglesia Cristiana Hispanic Christian Church,Unknown,Kailua-Kona,Hawai'i
Iglesia Ni Cristo (Church of Christ) - Locale of Kailua Kona,Unknown,Kailua-Kona,Hawai'i
Immanuel Enterprises Ltd,Unknown,Kailua-Kona,Hawai'i
Kealaokamalamalama Church,Unknown,Kailua-Kona,Hawai'i
Kona Church of Christ,Unknown,Kailua-Kona,Hawai'i
Kona Coast Baptist Church,Unknown,Kailua-Kona,Hawai'i
Life Church,Unknown,Kailua-Kona,Hawai'i
Life Everlasting Ministries,Unknown,Kailua-Kona,Hawai'i
Lifewater Church,Unknown,Kealakekua,Hawai'i
Oasis Church,Unknown,Kailua-Kona,Hawai'i
Praise Tabernacle,Unknown,Kailua-Kona,Hawai'i
The Hub Kona,Unknown,Kailua-Kona,Hawai'i
Baptist Collegiate Ministries,Unknown,Hilo,Hawai'i
Christian Fellowship Church Hawai'i,Unknown,Keaau,Hawai'i
"Crossnet Ministries International, Inc.",Unknown,Hilo,Hawai'i
First Missionary Baptist Church,Unknown,Hilo,Hawai'i
Free Church of Tonga,Unknown,Keaau,Hawai'i
Grace Baptist Church,Unknown,Hilo,Hawai'i
Heritage Christian Fellowship,Unknown,Hilo,Hawai'i
Hilo Door of Faith Church,Unknown,Hilo,Hawai'i
Iglesia Ni Cristo - Locale of Keaau,Unknown,Keaau,Hawai'i
Ka Uhane Hemolele O Ka Malamalama Church,Unknown,Hilo,Hawai'i
Kamauloa oka malamalama church,Unknown,Kurtistown,Hawai'i
Ke Kilohana Oka Malamalama,Unknown,Hilo,Hawai'i
Lord Is My Shepherd,Unknown,Hilo,Hawai'i
Opihikao Congregational Church,Unknown,P&#257;hoa,Hawai'i
Our God Reigns Church,Unknown,Hilo,Hawai'i
Paradise Park Baptist Church,Unknown,Keaau,Hawai'i
Puna Seventh-day Adventist Church,Unknown,Keaau,Hawai'i
Tenrikyo Hilo Church,Unknown,Hilo,Hawai'i
The I Love Jesus Church,Unknown,Pahala,Hawai'i
The Lord is My Sheppard Ministries,Unknown,Hilo,Hawai'i
United Community Church,Unknown,Hilo,Hawai'i
Zion's House Of Praise Holiness Church,Unknown,Hilo,Hawai'i
Zion's House-Praise Holiness,Unknown,Hilo,Hawai'i
Amazing Grace Baptist Church of South Point,Unknown,Naalehu,Hawai'i
Captain Cook Garfield Church,Unknown,Captain Cook,Hawai'i
Church of Christ,Unknown,Ocean View,Hawai'i
Divine Faith Ministries,Unknown,Ocean View,Hawai'i
HOPE DIAMEND MINISTRIES,Unknown,Ocean View,Hawai'i
Iglesia Ni Cristo - Locale of Naalehu,Unknown,Naalehu,Hawai'i
Kona Seventh-Day Adventist Church,Unknown,Captain Cook,Hawai'i
St Benedict Catholic Church,Unknown,Captain Cook,Hawai'i
St Jude's Episcopal Church,Unknown,Ocean View,Hawai'i
Volcano Assembly Of God,Unknown,Volcano,Hawai'i
Aloha Baptist Church,Unknown,Honokaa,Hawai'i
H&#257;m&#257;kua Baptist Mission,Unknown,Laupahoehoe,Hawai'i
Kalahikiola Congregational Church,Unknown,Kapaau,Hawai'i
Kohala Seventh-day Adventist Church,Unknown,Hawi,Hawai'i
Solid Rock North,Unknown,Kapaau,Hawai'i
First Assembly of God Church,Unknown,Lanai City,Lanai
Ka Lanakila Church,Unknown,Lanai City,Lanai
King's Chapel Lanai,Kevin $ Minister Dianna McNamara,Lanai City,Lanai
Lanai Baptist Church,Chris Komatsu & Sean Oliva,Lanai City,Lanai
Lanai Seventh Day Adventist Church,Ramel T Ramos,Lanai City,Lanai
Lanai Seventh-Day Adventist,Ramel T Ramos,Lanai City,Lanai
Lanai Union Church,Ben Sheets,Lanai City,Lanai
Lokahi O Ka Malamalama Church,Guest Speaker,Lanai City,Lanai
Apostolic Faith Church - Moloka'i Branch,Reginald V. Castanares,Kaunakakai,Molokai
Bible Baptist Church of Molokai,Unknown,Maunaloa,Molokai
Calvary Door of Faith Moloka'i,Joseph & Martha Kalipi,Kaunakakai,Molokai
Church of the Nazarene,Ryan,Kaunakakai,Molokai
Grace Episcopal Church,John S. Lunn,Ho'olehua,Molokai
Ho'olehua Congregational Church,Janice Ogoshi,Ho'olehua,Molokai
Ierusalema Pomaikai Church,Unknown,Kaunakakai,Molokai
Kalaiakamanu Hou Church,Janice Ogoshi,Kaunakakai,Molokai
Kaluaaha Church,Janice Ogoshi,Kaunakakai,Molokai
Kana'ana Hou Church,Mikiala & Keoki Pescaia,Kalaupapa,Molokai
Kaunakakai Baptist Church,"Henry ""Hanale"" Lindo",Kaunakakai,Molokai
King's Chapel Ho'olehua,Unknown,Ho'olehua,Molokai
King's Chapel Maunaloa,Unknown,Maunaloa,Molokai
King's Chapel Molokai,Unknown,Kaunakakai,Molokai
Lamb of God Church & Bible,Unknown,Kaunakakai,Molokai
Moloka'i Seventh-day Adventist Church,Ron Taylor,Kaunakakai,Molokai
Molokai Baptist Church,Randy & Clint,Ho'olehua,Molokai
Molokai Christian Academy,Unknown,Ho'olehua,Molokai
Molokai Church of God,David & Shirley Nanod,Kaunakakai,Molokai
Molokai Church of God Parsonage,Unknown,Ho'olehua,Molokai
Our Lady of Seven Sorrows Catholic Church,Patrick Fanning & Patrick Killiea,Kaunakakai,Molokai
Saint Philomena Catholic Church,Patrick Fanning & Patrick Killiea,Kalaupapa,Molokai
Salvation Army,Unknown,Kaunakakai,Molokai
St Joseph's Mission Church,Patrick Fanning & Patrick Killiea,Kaunakakai,Molokai
St. Damien of Molokai Church,Patrick Fanning & Patrick Killiea,Kaunakakai,Molokai
St. Vincent Ferrer Catholic Church,Patrick Fanning & Patrick Killiea,Maunaloa,Molokai
Waialua Congregational Church,Janice Ogoshi,Kaunakakai,Molokai
All Saints' Episcopal Church and Preschool,David Jackson,Kapaa,Kauai
Aloha Church Kaua'i,Silvin & Grace Galiza,Lihue,Kauai
Anahola Baptist Church,Kenneth Elledge,Anahola,Kauai
Breath of Life,Tom Iannucci,Lihue,Kauai
Calvary Chapel Lihue,Bruce Baumgartner,Lihue,Kauai
Calvary Chapel North Shore Kauai,Steve Rex,Kilauea,Kauai
Center for Spiritual Living Kauai,Patrick Feren & Rita Feren,Kapaa,Kauai
Christ Memorial Episcopal Church,Catherine Amy Kropp,Kilauea,Kauai
Church of the Nazarene,Pastor Brad Kinoshita,Hanapepe,Kauai
Church of the Pacific,Clyde Fujikawa,Princeville,Kauai
Crossroads Christian Fellowship Kauai,Nathan Pearl,Kapaa,Kauai
Eleele Baptist Church,Larry Hale,Eleele,Kauai
First United Church of Christ,Rex Piercy,Hanapepe,Kauai
Hanapepe United Church of Christ,Rex Piercy,Hanapepe,Kauai
Holy Cross Catholic Church,Danilo Galang,Kalaheo,Kauai
Immaculate Conception Catholic Church,Augustine Utthupu,Lihue,Kauai
Island Worship Center,Donna Rigney & Tammy Fabord,Anahola,Kauai
Jesus Saves Mission Church,Loke Kuhaulua,Kapaa,Kauai
Kalaheo Missionary Church,John Zimmerman,Kalaheo,Kauai
Kapaa Assembly of God Church,Darryl Kua,Kapaa,Kauai
Kapaa Baptist Church,Brian & Betty Dabis,Kapaa,Kauai
Kapaa First Hawaiian Church,Barry Mick,Kapaa,Kauai
Kapaa Missionary Church,Kelly Benton,Kapaa,Kauai
Kapaa Seventh-day Adventist Church,Jaime Vargas,Kapaa,Kauai
Kapaa United Church of Christ,Robert Bork,Kapaa,Kauai
Kauai Baptist Church,Nathan Grosse,Lihue,Kauai
Kauai Bible Church,Alan Akana,Koloa,Kauai
Kauai Christian Fellowship,Tony,Kilauea,Kauai
Kauai Christian Fellowship,Tony,Koloa,Kauai
Kauai Island Ministries,Rocky Sasaki,Lihue,Kauai
Kauai Lighthouse Outreach Center,Jason,Kapaa,Kauai
Kaumakani Sanctuary - West Kauai United Methodist Church,Nafetalai Teaupa,Kaunakakai,Kauai
Kekaha Door Of Faith Church,Stephen & Ilan Rogers,Kekaha,Kauai
Kekaha Sanctuary - West Kauai United Methodist,Nafetalai Teaupa,Kekaha,Kauai
Koloa Missionary Church,Ernie Johnston,Koloa,Kauai
Koloa Union Church,Alan Akana,Koloa,Kauai
Lawai Valley Seventh-Day Adventist Church,Jaime Vargas,Kalaheo,Kauai
Lihue Baptist Church,Christopher D. Metcalf,Lihue,Kauai
Lihue Christian Church,Cheri Dennis,Lihue,Kauai
Lihue Missionary Church,David Martin,Lihue,Kauai
Lihue United Church,Alex Tychkin,Lihue,Kauai
Lutheran Church of All Nations,JP,Lihue,Kauai
Maranatha Church of God,Dave & Teresa Pennington,Kalaheo,Kauai
New Hope Lihue,John & Rhonda Cabello,Lihue,Kauai
Ohana Christian Fellowship,Brandon Cash,Kapaa,Kauai
One Way Ministries Kauai is now Kapa'a Assembly of God,Nathan & Deby Hanohano,Kapaa,Kauai
Pukas Ministries,Jason Kerr,Kapaa,Kauai
Sacred Heart Church,Danilo Galang,Eleele,Kauai
Sacred Hearts of Jesus and Mary Catholic Church,Edwin Conselva,Waimea,Kauai
Saint John's Episcopal Church,Andrew Mcmullan,Eleele,Kauai
Saint Michael and All Angels Episcopal Church,Andrew Mcmullan,Lihue,Kauai
Saint Raphael Catholic Church,Arlan Intal,Koloa,Kauai
Saint Sylvester Catholic Church,Anthony Rapozo,Kilauea,Kauai
"Saint Theresa's Catholic Church, Kekaha",Edwin Conselva,Kekaha,Kauai
Saint William Church,Anthony Rapozo,Hanalei,Kauai
St Catherine of Alexandria Parish,Nicholas Apetorgbor,Kapaa,Kauai
St Matthew Lutheran Church LCMS,Michael Lange,Kalaheo,Kauai
St. Paul's Episcopal Church,Kerry Holder Joffrion,Kekaha,Kauai
The Church at Koloa,Harold & Christy Kilborn,Koloa,Kauai
The Salvation Army Corps Community Center,Osei & Lynn Stewart,Hanapepe,Kauai
Wai?oli Hui?ia Church,N. Stan Hankins,Hanalei,Kauai
Waimea Baptist Church,James Merritt,Waimea,Kauai
Waimea United Church of Christ,Olaf Hoeckmann-Percival,Waimea,Kauai
Westside Christian Center,Darryl Kua,Kekaha,Kauai
First Marshallese UCC,Remond Jeik,Waimea,Kauai
Kaua'I Marshallese Ministry,Sherm Korn,Hanapepe,Kauai
Aloha LIFE Church,Unknown,Anahola,Kauai
Amazing Grace Baptist Church,Nathan Grosse,Hanalei,Kauai
Central Kauai Christian Church,Unknown,Lihue,Kauai
Community Church of Kapaa,Unknown,Kapaa,Kauai
Damarys Baptiste Creations,Unknown,Hanalei,Kauai
Grace Church of Kauai,Unknown,Lihue,Kauai
Hanapepe Hawaiian Congregational Church,Unknown,Hanapepe,Kauai
Kauai church of Christ,Various Pastors,Lihue,Kauai
Ke Akua Mana,Unknown,Kapaa,Kauai
Koolau Huiia Protestant Church,Unknown,Anahola,Kauai
Lighthouse Christian Fellowship,Unknown,Kilauea,Kauai
Lihue First Church,Unknown,Lihue,Kauai
New Hope Kaua'i,Unknown,Kapaa,Kauai
Waimea Hawaiian Church,Unknown,Waimea,Kauai
Ohana Ni'ihau O Waimea Church,Unknown,Waimea,Kauai
Ala Lani United Methodist Church,Sonhye Kim,Kahului,Maui
Anuhea Chapel,Daniel De Oliveira,Makawao,Maui
New Hope Kahului,Kipa Higa,Kahului,Maui
Calvary Chapel Central Maui,Sean Housman,Wailuku,Maui
Calvary Chapel South Maui,Kirk Milhoan,Kihei,Maui
Calvary Chapel Westside,Steve,Lahaina,Maui
Calvary Chapel Westside,Steve,Lahaina,Maui
"Catedral de Rey, Maui (Iglesia Hispana, Lahaina)",Beth Schultz,Lahaina,Maui
"Catedral del Rey, Maui (Iglesia Hispana)",Beth Schultz,Kahului,Maui
Christ the King Church,Efren A Tomas,Kahului,Maui
Christ's Commission Fellowship Maui,Nathan Leigh,Kahului,Maui
Church of Firstborn,Jay & Gretchen Freitas,Makawao,Maui
Church on the Go,Laki Pomaikai Kaahumanu,Lahaina,Maui
Citizen Church Maui,Dustin & Mandy Woodward,Lahaina,Maui
Cornerstone Christian Church Maui,Dani & Helen Banggo,Kihei,Maui
Faith Family Maui,Herman & Carol Haupu,Kahului,Maui
Good Shepherd Episcopal Church,Robert Moki Hino,Wailuku,Maui
Grace Baptist Church,Arza Brown,Lahaina,Maui
Grace Bible Church-Maui,Jonavan Asato,Kahului,Maui
Grace Church Office,Robb Finberg,Makawao,Maui
Haiku Bible Church,Roland & Cindy Hara,Haiku,Maui
Harvest at Kumulani Chapel,Lance Bowen,Lahaina,Maui
Haumana Baptist Church,Matt Brunk,Kahului,Maui
Holy Ghost Mission,Anton Nyo,Kula,Maui
Holy Rosary Church,Jose Macoy,Paia,Maui
Honolua United Methodist Church,Panepasa Fifita,Lahaina,Maui
Hope Chapel,Ben Prangnell,Kihei,Maui
Hope Chapel North Shore,Dayne Pickett,Haiku,Maui
Hosanna Bible Baptist Church,Provy R. Cadelina,Kahului,Maui
House of Hope Fellowship,Pastor Ka,Hana,Maui
Huelo Door of Faith Church,Richard & Chris Trier,Haiku,Maui
Iao United Church of Christ,Jack Belsom,Wailuku,Maui
Iglesia Ni Cristo - Locale of Wailuku,Wilfredo Reyes IV,Wailuku,Maui
International Christian Fellowship,Benedicto & Diana Mariano,Lahaina,Maui
In His House Of Restoration,John & Marian De Mello,Kahului,Maui
In His House of Restoration Church,John & Marian De Mello,Kahului,Maui
Jesus Is Alive Church,Mimi & Bill Mitchell,Makawao,Maui
Jesus Unlimited Church,Israel Gregory,Wailuku,Maui
Joyful Community Church: MAUI,Zena & Fred Welch,Wailuku,Maui
Kaahumanu Church,Wayne Higa,Wailuku,Maui
Kaanapali Beach Ministry,Richard,Lahaina,Maui
Kahului Baptist Church,Jay Haynes,Kahului,Maui
Kahului Seventh-day Adventist Church,Vassili Khrapov,Kahului,Maui
Kahului Church of the Nazarene,Tom Gudmunson,Kahului,Maui
Kahului Union Church,Ken Tanaka,Kahului,Maui
Kahului Union Church Japanese,Yusushi Nemoto,Kahului,Maui
Kalanikahua Hou,James Aarona,Haiku,Maui
Kaulanapueo Church,James Aarona,Haiku,Maui
Keawala'i Congregational Church,Scott Landis,Kihei,Maui
Kihei Assembly of God,Farley F Bayudan,Kihei,Maui
K?hei Baptist Chapel,Van Michael Komatsu,Kihei,Maui
K?hei Lutheran Church,Ron,Kihei,Maui
Kihei Seventh-day Adventist Church,Ramel T Ramos,Kihei,Maui
King's Cathedral Maui,Joshua & Shannon Marocco,Kahului,Maui
Kings Chapel Bridge,Daniel J. Wine,Kahului,Maui
Kings Chapel Kapolei,Robert Sahagun,Kapolei,Maui
King's Chapel Kula,Robb Gorringe,Kula,Maui
King's Chapel Lahaina,Alan Cravahlo,Lahaina,Maui
King's Chapel Polynesian,Tomasi Finau,Kahului,Maui
Kingsfield Anglican Church,Jason Hill,Makawao,Maui
Lahaina Baptist Church,Erik Naylor,Lahaina,Maui
Lahaina New Life,Katherin & Gordon Kekahuna,Lahaina,Maui
Lahaina Seventh Day Adventist Church,Ramel T Ramos,Lahaina,Maui
Lahaina United Methodist Church,John Crewe,Lahaina,Maui
Lanakila Church,Charles Tang,Kahului,Maui
Life in Christ Church of God,Jerry & Clarice Recamara,Wailuku,Maui
Living Way Church Maui,Greg Delacruz,Wailuku,Maui
Lord's Team Ministries,Rocky & Bobbie LaRocco,Kahului,Maui
Makawao Union Church,Gordon Marchant,Makawao,Maui
Maria Lanakila Church,Joseph Pathiyil,Kapalua,Maui
Maui Evangelical Church,Miguel Morales,Kahului,Maui
Maui Full Gospel Church,Jungwan Seo,Kahului,Maui
Maui Lighthouse Outreach Center,Alo Valoaga,Kahului,Maui
Maui Marshallese Ministry,Jori Lokboj,Kahului,Maui
Maui Mission,Jeffrey Gabriel,Kihei,Maui
Maui Onnuri Church,Sung Yun Kim,Kahului,Maui
Nahiku Hawaiian Church,James Aarona,Haiku,Maui
New Hope Maui Church,Dwayne & Janet Betsill,Kahului,Maui
New Life Maui Pentecostal Church,Jose Diaz,Kahului,Maui
Our Lady Queen of Angels,Anton Nyo,Kula,Maui
Paipala Church of Paia,Jan Apo & Jimmy Fitt,Paia,Maui
Pentecostal Missionary Church Of Christ,Arsenio T. Ferriol,Wailuku,Maui
Po'okela Church,Kimberly Fong,Makawao,Maui
Pohnpei Maui,Francis Salvador,Kahului,Maui
Pukalani Baptist Church,Paul Keneshiro,Makawao,Maui
Pukalani Community Church of the Nazarene,Mark Gudmunson,Makawao,Maui
Sacred Hearts Mission Catholic Church,Kuriakose Nadooparambil,Lahaina,Maui
Sacred Hearts Mission Church,Joseph Pathiyil,Lahaina,Maui
"Sacred Hearts of Jesus & Mary Catholic Church, Lanai",Marcialito Maglana,Lanai City,Maui
